"COMPSCI 50","-9","4949","15","31","111","245","218"
"COMPSCI 50","-8","43861","15","31","111","245","218"
"COMPSCI 50","-7","43861","19","61","109","221","239"
"COMPSCI 50","-6","43861","3","15","80","184","269"
"COMPSCI 50","-5","43861","13","12","62","141","228"
"COMPSCI 50","-4","43861","0","10","29","106","162"
"COMPSCI 50","-3","43861","3","6","54","73","136"
"COMPSCI 50","-2","43861","3","4","16","36","133"
"COMPSCI 50","-1","43861","1","3","14","36","44"
"PSY 2640r","10312","7865","0","0","0","0","2"
"ECON 1123","10313","0813","9","15","18","20","14"
"PSY 910r","10314","1472","0","0","4","2","0"
"MUSIC 180r","10316","2294","0","1","0","7","5"
"MATH 1a","10317","8434","11","18","51","27","8"
"ANTHRO 1600","10323","8296","3","7","7","7","1"
"SPANSH 30","10324","0479","0","2","14","39","36"
"SLAVIC 120r","10325","7121","0","0","0","1","0"
"PSY 1652r","10326","9913","0","0","0","1","0"
"PSY 2553r","10327","4679","0","0","0","1","5"
"SWAHILI B","10328","3442","0","0","1","0","0"
"AFRAMER 99","10329","8654","1","1","1","0","0"
"ANTHRO 2660","10336","7070","0","0","1","2","1"
"LATIN 134","10342","1327","0","0","0","1","0"
"GOV 2160","10345","7780","0","0","1","4","2"
"GOV 2500","10347","80905","0","0","1","2","2"
"VES 37","10348","3090","0","0","0","1","4"
"ANTHRO 2704","10349","4411","0","0","1","0","5"
"ENG-SCI 240","10352","2984","0","0","0","0","3"
"PHYSICS 151","10355","2068","0","1","2","1","2"
"ARABIC 131a","10356","0739","3","2","5","3","0"
"HISTSCI 200","10358","11825","0","0","0","1","3"
"GOV 1060","10359","4978","1","5","8","5","11"
"GOV 2305","10360","2305","0","0","0","3","3"
"EXPOS 10","10362","6344","1","2","7","36","33"
"ENG-SCI 220","10365","2759","0","0","0","3","13"
"ECON 1723","10366","1917","3","10","11","19","19"
"PORTUG Ac","10371","0430","0","1","2","18","22"
"OEB 251","10372","2075","0","0","0","0","4"
"CHNSE 140a","10373","1945","0","2","8","25","12"
"APPHY 282","10374","5737","2","0","1","2","1"
"OEB 139","10375","8562","0","1","0","7","21"
"MATH 152","10376","8389","1","0","3","5","7"
"MCB 156","10378","8543","0","1","3","4","2"
"FRSEMR 24n","10379","6367","0","1","2","0","7"
"MUSIC 212r","10380","4984","0","0","1","1","2"
"GOV 1197","10382","9130","0","1","3","8","5"
"STAT 220","10383","6270","1","2","5","5","4"
"STAT 139","10385","1450","0","3","4","3","0"
"MUSIC 155","10387","7710","0","0","0","1","2"
"GOV 2000","10388","2281","0","2","5","7","2"
"GOV 1510","10392","0383","0","0","3","19","62"
"APMTH 206","10393","6018","0","0","2","1","2"
"MATH 118r","10398","6402","1","1","1","2","0"
"SYSTBIO 200","10403","8701","0","0","2","3","5"
"GOV 1300","10404","8868","2","3","6","16","23"
"LIFESCI 1a","10408","2137","47","75","109","105","39"
"VES 15ar","10412","2262","0","0","0","2","5"
"LATIN Ac","10422","7033","0","1","2","1","1"
"SOCIOL 129","10429","6298","1","1","8","11","11"
"VES 40a","10435","2010","1","0","0","2","7"
"ECON 2120","10436","2352","0","1","0","2","1"
"LING 98a","10438","4222","0","0","1","0","0"
"PHYSICS 191r","10442","7711","0","0","0","5","2"
"MATH 21b","10443","1771","2","10","13","17","4"
"SLAVIC 101","10447","7234","0","0","2","6","9"
"SLAVIC Aab","10448","4441","1","0","1","1","0"
"PHYSICS 15b","10449","2701","1","2","4","7","3"
"ENGLISH 99r","10450","3901","0","0","1","1","3"
"MOD-HEB B","10452","4810","0","0","1","3","8"
"TURKISH A","10453","2527","0","1","0","0","4"
"SLAVIC A","10455","8014","0","0","3","8","3"
"GOV 1008","10460","9732","2","0","0","1","0"
"SOCIOL 203b","10464","1860","0","1","1","1","6"
"ANE 210","10466","5492","0","0","0","2","0"
"LING 205r","10467","0776","1","0","4","0","0"
"GOV 2490","10470","3399","0","0","0","0","3"
"SLAVIC 281","10474","1058","0","0","0","1","1"
"MUSIC 230r","10478","5712","0","0","3","4","2"
"ROM-STD 201","10480","0934","0","0","4","3","0"
"MATH 115","10481","1871","1","0","0","3","1"
"OEB 114","10482","4953","0","0","1","5","12"
"PHYSICS 287a","10483","2012","0","0","0","1","0"
"MATH 136","10484","1949","0","1","2","1","0"
"MATH 124","10485","2398","0","0","1","3","2"
"E-PSCI 200","10486","2675","0","0","1","4","3"
"HEBREW 200r","10488","3265","0","0","0","1","0"
"VIROLOGY 202","10491","6025","0","0","0","0","1"
"MATH 19a","10492","1256","9","9","15","22","6"
"MATH 122","10493","7855","0","5","8","13","13"
"ENG-SCI 125","10495","7274","0","0","0","0","1"
"ECON 2060","10496","1404","0","1","2","7","5"
"CHNSE 107a","10497","3343","0","0","1","1","1"
"JAPAN 106a","10498","1492","0","0","0","1","1"
"JAPAN 150a","10499","4693","0","0","3","4","1"
"KOREAN 120a","10500","5884","0","0","1","1","1"
"E-PSCI 132","10501","8495","0","0","2","1","2"
"COMPSCI 141","10503","4357","0","2","2","6","2"
"COMPSCI 175","10504","3771","0","2","9","8","3"
"OEB 57","10505","2539","0","2","14","37","13"
"SLAVIC Da","10507","8158","0","0","0","2","2"
"SOCIOL 204","10509","6189","1","4","0","0","0"
"MATH 23a","10510","2486","7","15","25","22","12"
"GOV 10","10511","8836","2","4","8","8","2"
"VIROLOGY 200","10512","6075","0","0","0","3","0"
"MUSIC 194r","10513","98795","0","0","0","1","3"
"ENG-SCI 274","10514","5645","0","1","0","1","1"
"SOCIOL 255","10515","3839","0","0","0","1","1"
"AFRAMER 20","10516","2048","0","1","0","2","3"
"PSY 1900","10518","4016","5","12","15","14","6"
"FRSEMR 21o","10524","7584","0","0","1","2","4"
"ARABIC 133","10527","4747","0","2","2","3","1"
"APPHY 225","10532","5298","0","1","6","8","8"
"SOCIOL 206","10536","9026","0","0","2","4","0"
"PSY 2190","10537","2529","0","0","1","2","1"
"E-PSCI 161","10540","1854","0","0","0","2","1"
"GREEK H","10542","6323","0","1","1","0","2"
"SOC-STD 98fu","10544","7432","0","0","0","0","8"
"PSY 15","10549","4760","0","2","5","40","55"
"MCB 131","10551","9868","0","2","3","7","3"
"PHIL 158","10555","45486","0","0","0","1","1"
"HAA 175k","10556","6910","0","1","1","8","3"
"HISTSCI 212","10559","0500","0","0","0","0","5"
"ISLAMCIV 145","10560","0292","0","0","0","4","3"
"HISTSCI 153","10561","1409","0","1","3","5","7"
"VES 270","10562","1741","0","0","1","2","2"
"ECON 2070","10564","5647","0","0","0","2","1"
"STAT 115","10570","9776","0","2","4","5","4"
"OEB 54","10576","9326","0","0","1","3","2"
"MCB 225","10577","7646","0","0","3","2","0"
