"COMPSCI 50","-9","4949","3","20","150","164","180"
"COMPSCI 50","-8","43861","3","20","150","164","180"
"COMPSCI 50","-7","43861","8","36","163","243","197"
"COMPSCI 50","-6","43861","2","31","158","229","130"
"COMPSCI 50","-5","43861","3","13","133","193","115"
"COMPSCI 50","-4","43861","3","16","93","119","77"
"COMPSCI 50","-3","43861","1","20","85","108","63"
"COMPSCI 50","-2","43861","3","25","85","56","23"
"COMPSCI 50","-1","43861","2","5","30","43","17"
"PSY 2640r","10312","7865","0","1","1","0","0"
"ECON 1123","10313","0813","0","6","38","22","8"
"PSY 910r","10314","1472","1","3","0","1","0"
"MUSIC 180r","10316","2294","0","3","7","2","1"
"MATH 1a","10317","8434","1","13","57","33","10"
"ANTHRO 1600","10323","8296","2","10","10","2","0"
"SPANSH 30","10324","0479","8","36","42","5","0"
"SLAVIC 120r","10325","7121","0","0","1","0","0"
"PSY 1652r","10326","9913","0","0","1","0","0"
"PSY 2553r","10327","4679","2","0","1","0","0"
"SWAHILI B","10328","3442","0","0","1","0","0"
"AFRAMER 99","10329","8654","0","0","2","1","0"
"ANTHRO 2660","10336","7070","0","0","0","4","0"
"LATIN 134","10342","1327","0","0","1","0","0"
"GOV 2160","10345","7780","0","1","2","4","0"
"GOV 2500","10347","80905","0","0","2","1","0"
"VES 37","10348","3090","0","1","2","2","0"
"ANTHRO 2704","10349","4411","0","0","1","5","0"
"ENG-SCI 240","10352","2984","0","0","2","1","0"
"PHYSICS 151","10355","2068","0","0","2","2","1"
"ARABIC 131a","10356","0739","0","3","2","4","4"
"HISTSCI 200","10358","11825","0","0","4","0","0"
"GOV 1060","10359","4978","0","0","12","10","7"
"GOV 2305","10360","2305","0","0","4","2","0"
"EXPOS 10","10362","6344","0","5","57","14","3"
"ENG-SCI 220","10365","2759","0","0","2","10","4"
"ECON 1723","10366","1917","0","1","8","30","21"
"PORTUG Ac","10371","0430","4","19","19","1","0"
"OEB 251","10372","2075","0","0","3","1","0"
"CHNSE 140a","10373","1945","4","5","20","15","2"
"APPHY 282","10374","5737","0","0","0","1","5"
"OEB 139","10375","8562","1","1","17","10","0"
"MATH 152","10376","8389","3","6","6","0","0"
"MCB 156","10378","8543","0","0","4","3","3"
"FRSEMR 24n","10379","6367","3","4","3","0","0"
"MUSIC 212r","10380","4984","0","0","0","4","0"
"GOV 1197","10382","9130","1","6","10","0","0"
"STAT 220","10383","6270","0","0","5","9","3"
"STAT 139","10385","1450","0","1","3","3","2"
"MUSIC 155","10387","7710","0","0","2","1","0"
"GOV 2000","10388","2281","0","3","3","3","7"
"GOV 1510","10392","0383","0","4","58","19","2"
"APMTH 206","10393","6018","0","0","2","3","0"
"MATH 118r","10398","6402","0","0","2","2","1"
"SYSTBIO 200","10403","8701","0","2","0","6","2"
"GOV 1300","10404","8868","2","13","32","2","0"
"LIFESCI 1a","10408","2137","6","19","111","145","87"
"VES 15ar","10412","2262","0","0","5","0","2"
"LATIN Ac","10422","7033","0","0","1","2","2"
"SOCIOL 129","10429","6298","4","6","18","3","1"
"VES 40a","10435","2010","0","2","6","2","0"
"ECON 2120","10436","2352","0","0","3","0","0"
"LING 98a","10438","4222","0","0","1","0","0"
"PHYSICS 191r","10442","7711","0","0","2","4","1"
"MATH 21b","10443","1771","0","1","22","14","8"
"SLAVIC 101","10447","7234","1","2","14","0","0"
"SLAVIC Aab","10448","4441","0","1","0","1","1"
"PHYSICS 15b","10449","2701","1","1","3","8","4"
"ENGLISH 99r","10450","3901","0","0","0","3","0"
"MOD-HEB B","10452","4810","1","2","6","3","0"
"TURKISH A","10453","2527","0","3","2","0","0"
"SLAVIC A","10455","8014","0","1","9","4","0"
"GOV 1008","10460","9732","0","0","2","0","1"
"SOCIOL 203b","10464","1860","1","0","3","5","0"
"ANE 210","10466","5492","0","0","2","0","0"
"LING 205r","10467","0776","0","0","5","0","0"
"GOV 2490","10470","3399","0","0","2","1","0"
"SLAVIC 281","10474","1058","0","0","2","0","0"
"MUSIC 230r","10478","5712","0","0","6","3","0"
"ROM-STD 201","10480","0934","0","0","3","3","0"
"MATH 115","10481","1871","0","0","0","3","2"
"OEB 114","10482","4953","2","2","14","0","0"
"PHYSICS 287a","10483","2012","0","0","0","1","0"
"MATH 136","10484","1949","0","1","1","2","0"
"MATH 124","10485","2398","1","2","3","0","0"
"E-PSCI 200","10486","2675","0","2","5","1","0"
"HEBREW 200r","10488","3265","0","0","0","0","0"
"VIROLOGY 202","10491","6025","0","0","0","1","0"
"MATH 19a","10492","1256","1","11","34","12","3"
"MATH 122","10493","7855","0","3","12","15","9"
"ENG-SCI 125","10495","7274","0","0","1","0","0"
"ECON 2060","10496","1404","0","2","6","5","1"
"CHNSE 107a","10497","3343","0","0","3","0","0"
"JAPAN 106a","10498","1492","0","0","1","1","0"
"JAPAN 150a","10499","4693","0","1","6","1","0"
"KOREAN 120a","10500","5884","0","0","1","1","1"
"E-PSCI 132","10501","8495","0","2","0","2","1"
"COMPSCI 141","10503","4357","0","2","2","8","0"
"COMPSCI 175","10504","3771","0","1","18","3","0"
"OEB 57","10505","2539","1","20","36","8","1"
"SLAVIC Da","10507","8158","0","2","1","1","0"
"SOCIOL 204","10509","6189","0","0","2","1","2"
"MATH 23a","10510","2486","0","2","27","35","14"
"GOV 10","10511","8836","1","2","13","6","1"
"VIROLOGY 200","10512","6075","0","0","2","1","0"
"MUSIC 194r","10513","98795","0","1","2","1","0"
"ENG-SCI 274","10514","5645","0","0","1","1","1"
"SOCIOL 255","10515","3839","0","0","1","1","0"
"AFRAMER 20","10516","2048","1","4","1","0","0"
"PSY 1900","10518","4016","13","17","19","3","0"
"FRSEMR 21o","10524","7584","0","3","4","0","0"
"ARABIC 133","10527","4747","0","2","4","1","1"
"APPHY 225","10532","5298","0","0","16","6","0"
"SOCIOL 206","10536","9026","0","0","5","1","0"
"PSY 2190","10537","2529","0","0","3","0","1"
"E-PSCI 161","10540","1854","0","1","2","0","0"
"GREEK H","10542","6323","0","2","1","1","0"
"SOC-STD 98fu","10544","7432","0","1","3","4","0"
"PSY 15","10549","4760","14","46","35","6","1"
"MCB 131","10551","9868","0","1","4","5","5"
"PHIL 158","10555","45486","0","0","2","0","0"
"HAA 175k","10556","6910","0","1","6","4","2"
"HISTSCI 212","10559","0500","0","0","2","1","1"
"ISLAMCIV 145","10560","0292","0","0","5","2","0"
"HISTSCI 153","10561","1409","0","5","10","0","0"
"VES 270","10562","1741","0","1","3","1","0"
"ECON 2070","10564","5647","0","1","1","1","0"
"STAT 115","10570","9776","0","6","7","2","0"
"OEB 54","10576","9326","0","2","4","0","0"
"MCB 225","10577","7646","0","2","3","0","0"
"E-PSCI 255r","10581","8807","0","0","2","1","0"
"PHYSCI 2","10582","6053","1","7","26","22","4"
"CELLBIO 226","10585","8747","0","1","4","0","0"
"APPHY 299r","10593","2103","1","0","3","1","1"
"VES 41a","10595","0705","0","1","2","5","1"
"PSY 975","10596","9063","0","1","6","1","0"
"PERSIAN A","10600","8143","0","1","11","0","0"
"MUSIC Bhf","10601","3045","2","3","4","0","0"
"HLTHPOL 2000","10602","4522","0","2","4","1","0"
"HIST-LIT 97","10603","1148","0","0","7","3","0"
"PHIL 98hf","10607","5533","0","1","1","3","0"
"SLAVIC B","10609","3262","0","1","4","2","2"
"E-PSCI 210","10611","9146","0","1","3","4","0"
"ENG-SCI 209","10613","1194","0","0","0","0","0"
"ANTHRO 2000","10615","0363","0","0","0","2","2"
"ANTHRO 1640","10617","5844","0","6","10","3","0"
"HIST 2906","10620","0453","0","0","2","1","0"
"PHYSICS 285a","10624","8204","0","2","3","2","1"
"ITAL 141","10625","5328","0","0","1","2","0"
"ENG-SCI 128","10630","0359","0","0","0","3","1"
"VES 107","10631","7883","0","5","7","1","0"
"JAPAN 130a","10632","4855","0","0","7","8","3"
"MATH 55a","10634","4068","0","0","0","1","9"
"ECON 2810a","10635","4862","0","0","5","4","0"
"CHNSE Ba","10636","4375","1","2","14","24","25"
"COMPSCI 50","10637","4949","2","5","30","43","17"
"CHEM 17","10638","5085","0","1","31","71","68"
"CHEM 30","10639","6587","0","1","4","15","31"
"APMTH 21a","10641","6395","2","2","14","12","6"
"STAT 110","10645","0147","0","4","26","22","10"
"PHYSICS 253a","10646","8050","0","0","1","4","3"
"MCB 186","10647","2854","0","0","2","1","0"
"SOCIOL 296a","10648","67293","0","1","0","0","0"
"SOCIOL 209","10649","1198","0","0","5","2","0"
"PHYSICS 232","10650","4885","0","0","0","3","0"
"ASTRON 2","10656","2179","3","3","8","2","0"
"MUSIC 201a","10658","4975","1","2","4","0","0"
"FRSEMR 33x","10661","6673","0","0","4","3","0"
"FRSEMR 37z","10663","1725","1","6","1","2","0"
"KORHIST 253r","10666","0365","0","0","0","3","0"
"MUSIC 160r","10667","8026","0","0","2","1","0"
"BIOSTAT 244","10668","2140","0","0","1","1","0"
"HAA 275w","10680","8955","0","0","0","1","0"
"PHIL 155","10683","26883","0","0","1","2","0"
"GENETIC 228","10685","9840","0","1","4","1","0"
"PHYSICS 284","10688","4673","0","0","6","4","1"
"FRSEMR 31n","10689","4682","1","2","2","0","0"
"GERMAN 288","10691","8467","0","0","2","0","0"
"ENGLISH 282","10692","29256","0","0","1","0","0"
"ECON 2328","10694","9475","0","1","8","1","0"
"ENGLISH 294z","10696","7277","0","2","4","2","0"
"HISTSCI 162","10697","7570","0","0","5","0","0"
"NEUROBIO 98r","10710","0494","0","0","0","1","0"
"APMTH 115","10711","1768","0","4","10","4","2"
"RELIGION 98a","10714","2832","0","0","3","2","0"
"PHYSICS 143a","10715","1050","0","0","2","6","2"
"MATH 1b","10716","1804","1","7","45","46","13"
"HIST-LIT 98r","10717","2766","0","0","4","4","1"
"SLAVIC Dr","10720","1096","0","0","1","1","0"
"PHYSICS 247r","10722","8665","0","0","3","0","0"
"GERMAN Dab","10723","1351","0","0","5","3","0"
"PSY 992","10724","4990","1","0","2","0","1"
"YIDDISH A","10725","4623","0","0","2","1","0"
"HIST-LIT 99","10727","5362","0","0","5","2","0"
"MODGRK A","10729","8604","0","0","1","1","0"
"VES 50","10730","4907","0","0","7","3","0"
"COMPSCI 222","10738","2493","0","0","6","7","0"
"PHIL 122","10740","9025","0","2","6","0","1"
"PHYSICS 262","10741","1157","0","3","2","12","1"
"AM-CIV 200","10743","3662","0","0","2","4","0"
"ECON 2140","10750","7210","0","0","12","5","0"
"PSY 18","10754","8560","1","3","16","3","0"
"PHYSICS 95","10755","2806","0","6","1","1","0"
"PHYSICS 251a","10756","2191","0","0","10","14","4"
"MATH 25a","10758","1525","0","2","6","9","13"
"ENG-SCI 202","10761","5080","0","0","3","3","3"
"ECON 975","10762","3281","0","0","4","4","1"
"ECON 2110","10764","7213","0","0","10","5","4"
"ECON 2530a","10765","4537","0","0","5","5","0"
"CHNSE Bx","10766","7066","1","6","17","8","1"
"LATIN Bam","10767","7123","0","0","2","2","1"
"ANTHRO 98xa","10769","2959","0","1","4","0","0"
"SPANSH Ax","10771","5318","0","1","4","1","0"
"SLAVIC 113","10774","0955","1","0","6","1","0"
"FRSEMR 21s","10775","2067","0","2","2","0","0"
"VIETNAM Ba","10777","3873","0","1","2","2","1"
"GOV 1100","10779","7687","0","1","3","1","0"
"GERMAN 65","10780","2678","0","1","2","0","0"
"MATH 121","10785","7009","0","3","2","5","0"
"GOV 2105","10786","0154","0","0","2","1","1"
"ECON 1640","10787","7875","1","1","6","5","1"
"JAPNHIST 115","10788","5756","0","0","3","3","0"
"SOCIOL 203a","10789","3315","0","0","5","4","4"
"ECON 2723","10790","2847","0","0","1","4","2"
"FRENCH 70b","10791","6720","0","3","10","2","0"
"ANTHRO 1010","10793","8727","2","7","5","0","0"
"GERMAN 62","10797","2201","0","2","4","2","1"
"FRSEMR 25w","10799","0049","0","3","3","0","0"
"ANTHRO 1850","10800","1686","0","1","6","0","0"
"FRSEMR 25k","10801","3913","2","2","2","0","0"
"FOLKMYTH 114","10803","7982","0","0","2","0","0"
"CLASARCH 100","10805","3132","0","1","6","1","0"
"ESPP 78","10807","3613","1","2","9","3","1"
"FRSEMR 22z","10808","8839","4","4","1","0","0"
"SOCIOL 243","10810","2022","0","0","3","1","0"
"HEB 1418","10812","1437","0","1","2","1","0"
"GOV 1368","10818","8971","4","13","21","4","4"
"PSY 1950","10819","4889","0","2","3","4","1"
"IRANIAN 209b","10825","18317","0","0","3","0","0"
"FRSEMR 49n","10826","9965","3","2","2","0","0"
"PHIL 161","10831","7414","0","1","4","1","0"
"ENG-SCI 249","10836","3145","0","2","0","0","0"
"ECON 980b","10839","1581","0","0","7","2","0"
"STAT 231","10844","7537","0","0","5","5","0"
"ENGLISH Ckr","10849","6781","0","0","6","2","0"
"OEB 253r","10851","8104","0","0","1","0","0"
"VES 51a","10852","7526","0","0","3","3","0"
"PHYSICS 15c","10855","8676","0","1","4","6","4"
"HIST-LIT 91r","10857","0334","0","1","6","0","0"
"LATIN Aab","10862","7111","0","1","0","2","2"
"SLAVIC 103","10866","8638","0","2","2","2","0"
"STAT 100","10867","3808","1","24","36","11","3"
"PSY 2530r","10868","2364","0","0","1","0","1"
"AFRAMER 90r","10869","7010","0","4","12","3","2"
"PSY 2570r","10872","4440","1","1","0","0","0"
"MODGRK B","10877","8187","0","0","2","0","0"
"SWAHILI A","10881","1878","0","3","5","0","0"
"COMPSCI 226r","10884","1749","2","3","13","6","1"
"APMTH 205","10885","1370","1","3","10","1","0"
"ASTRON 251","10887","5381","0","0","5","2","0"
"HAA 242","10888","7561","0","0","1","1","0"
"OEB 275r","10889","5004","0","1","2","1","0"
"BIOSTAT 235","10891","7549","0","1","3","1","0"
"JAPAN 140a","10897","3688","0","1","3","3","1"
"PSY 13","10898","8706","0","5","4","0","0"
"PHYSICS 16","10899","2019","1","2","6","15","19"
"NEUROBIO 220","10901","2141","1","1","3","2","0"
"MATH 213a","10902","1621","1","1","2","10","1"
"ENG-SCI 181","10906","3889","0","0","3","8","3"
"ECON 2610","10907","3766","0","0","2","2","2"
