"COMPSCI 50","-9","4949","1","32","139","202","246"
"COMPSCI 50","-8","43861","1","32","139","202","246"
"COMPSCI 50","-7","43861","3","41","146","197","263"
"COMPSCI 50","-6","43861","3","26","127","169","225"
"COMPSCI 50","-5","43861","1","21","89","137","209"
"COMPSCI 50","-4","43861","0","12","67","103","127"
"COMPSCI 50","-3","43861","0","14","50","75","137"
"COMPSCI 50","-2","43861","1","15","65","63","48"
"COMPSCI 50","-1","43861","0","5","28","29","35"
"PSY 2640r","10312","7865","1","0","1","0","0"
"ECON 1123","10313","0813","7","43","23","2","1"
"PSY 910r","10314","1472","3","0","1","1","0"
"MUSIC 180r","10316","2294","0","11","2","0","0"
"MATH 1a","10317","8434","10","56","42","5","0"
"ANTHRO 1600","10323","8296","3","19","2","0","0"
"SPANSH 30","10324","0479","30","50","10","1","0"
"SLAVIC 120r","10325","7121","0","0","1","0","0"
"PSY 1652r","10326","9913","1","0","0","0","0"
"PSY 2553r","10327","4679","0","2","2","0","0"
"SWAHILI B","10328","3442","0","1","0","0","0"
"AFRAMER 99","10329","8654","1","0","2","0","0"
"ANTHRO 2660","10336","7070","0","1","1","2","0"
"LATIN 134","10342","1327","0","1","0","0","0"
"GOV 2160","10345","7780","0","2","3","0","2"
"GOV 2500","10347","80905","0","1","0","2","0"
"VES 37","10348","3090","0","2","1","1","1"
"ANTHRO 2704","10349","4411","0","0","2","2","2"
"ENG-SCI 240","10352","2984","0","1","1","1","0"
"PHYSICS 151","10355","2068","0","1","4","0","0"
"ARABIC 131a","10356","0739","0","2","6","3","2"
"HISTSCI 200","10358","11825","0","1","1","1","1"
"GOV 1060","10359","4978","1","15","9","3","2"
"GOV 2305","10360","2305","0","1","2","3","0"
"EXPOS 10","10362","6344","11","47","17","4","0"
"ENG-SCI 220","10365","2759","0","1","4","6","5"
"ECON 1723","10366","1917","1","19","35","3","2"
"PORTUG Ac","10371","0430","21","21","1","0","0"
"OEB 251","10372","2075","1","3","0","0","0"
"CHNSE 140a","10373","1945","15","19","8","3","1"
"APPHY 282","10374","5737","0","0","0","0","6"
"OEB 139","10375","8562","12","13","4","0","0"
"MATH 152","10376","8389","3","8","4","0","0"
"MCB 156","10378","8543","0","2","4","1","3"
"FRSEMR 24n","10379","6367","6","4","0","0","0"
"MUSIC 212r","10380","4984","0","2","2","0","0"
"GOV 1197","10382","9130","8","8","2","0","0"
"STAT 220","10383","6270","0","3","6","3","5"
"STAT 139","10385","1450","0","6","2","1","0"
"MUSIC 155","10387","7710","0","1","2","0","0"
"GOV 2000","10388","2281","0","2","3","4","7"
"GOV 1510","10392","0383","17","46","19","1","0"
"APMTH 206","10393","6018","0","3","2","0","0"
"MATH 118r","10398","6402","0","2","3","0","0"
"SYSTBIO 200","10403","8701","0","2","4","2","2"
